year,sector,alloc_total_mt,alloc_comb_mt,alloc_proc_mt,comb_frac,ng_share_point,ng_share_low,ng_share_high,ng_co2_in_ets_point_mt,ng_co2_in_ets_low_mt,ng_co2_in_ets_high_mt,extrapolated
2022,papel,2.5194210677243465,2.493925659368929,0.02549540835541742,0.9898804496469318,0.4605642976663021,0.4105642976663021,0.5105642976663021,1.1486131197392202,1.0239168367707738,1.2733094027076666,True
2023,papel,2.474470430238668,2.4503627443686837,0.024107685869984286,0.9902574362678244,0.5534612969461042,0.5034612969461042,0.6034612969461043,1.356180942486707,1.2336628052682728,1.4786990797051414,True
2024,papel,2.2740181889978843,2.2501465272442167,0.023871661753667832,0.9895024314804678,0.5563315097034485,0.5063315097034484,0.6063315097034485,1.2518274145557469,1.139320088193536,1.3643347409179578,True
2020,alimentos_bebidas,7.7,7.7,0.0,1.0,0.3786352524951931,0.3286352524951931,0.4286352524951931,2.9154914442129867,2.530491444212987,3.300491444212987,False
2021,alimentos_bebidas,7.7,7.7,0.0,1.0,0.3975670782350192,0.3475670782350192,0.4475670782350192,3.061266502409648,2.6762665024096477,3.4462665024096477,False
2022,alimentos_bebidas,8.355526551800144,8.355526551800144,0.0,1.0,0.4605642976663021,0.4105642976663021,0.5105642976663021,3.8482572179619723,3.4304808903719652,4.26603354555198,True
2023,alimentos_bebidas,8.584265069517565,8.584265069517565,0.0,1.0,0.5534612969461042,0.5034612969461042,0.6034612969461043,4.751058478704332,4.3218452252284525,5.18027173218021,True
2024,alimentos_bebidas,9.494188301091494,9.494188301091494,0.0,1.0,0.5563315097034485,0.5063315097034484,0.6063315097034485,5.281916110955049,4.807206695900474,5.756625526009625,True
2020,otros,7.0,7.0,0.0,1.0,0.3786352524951931,0.3286352524951931,0.4286352524951931,2.6504467674663514,2.300446767466352,3.0004467674663515,False
2021,otros,8.8,8.8,0.0,1.0,0.3975670782350192,0.3475670782350192,0.4475670782350192,3.498590288468169,3.058590288468169,3.938590288468169,False
2022,otros,9.274711970779261,9.274711970779261,0.0,1.0,0.4605642976663021,0.4105642976663021,0.5105642976663021,4.271601204879195,3.807865606340232,4.735336803418158,True
2023,otros,10.641937674917,10.641937674917,0.0,1.0,0.5534612969461042,0.5034612969461042,0.6034612969461043,5.889900627579172,5.357803743833321,6.421997511325022,True
2024,otros,10.379231568506075,10.379231568506075,0.0,1.0,0.5563315097034485,0.5063315097034484,0.6063315097034485,5.774293568068676,5.255331989643372,6.293255146493981,True
