source_type,category,subcategory,CO2_Mg,CH4_Mg,N2O_Mg,CN_Mg,notes,CO2_GgCO2e,CH4_GgCO2e,N2O_GgCO2e,total_GgCO2e,HFC_PFC_SF6_GgCO2e,hfc_data_gap,biogenic_co2,ipcc_sector,in_S,f_frac_central,f_frac_low,f_frac_high,e_frac_central,e_frac_low,e_frac_high,scope_note,S_F_E_central,S_E_only_central,S_F_only_central,S_only_central,F_only_central,F_E_only_central,E_only_central,uncovered_central,S_F_E_low,S_E_only_low,S_F_only_low,S_only_low,F_only_low,F_E_only_low,E_only_low,uncovered_low,S_F_E_high,S_E_only_high,S_F_only_high,S_only_high,F_only_high,F_E_only_high,E_only_high,uncovered_high,year,scenario,S_F_E_computed,S_E_only_computed,S_F_only_computed,S_only_computed,F_only_computed,F_E_only_computed,E_only_computed,uncovered_computed
FIXED,Celulosa_y_papel,,47957.1,1.6,1.6,2.3,Annex IV; combustion-only category (no calcination process),47.9571,0.0448,0.424,67.03277100031494,0.0,True,False,manufacturing_pulp_paper,True,0.82,0.7,0.92,0.8,0.6,0.95,Fixed Celulosa_y_papel: F=0.82; E=0.8,31.7673904,6.973329600000001,7.941847599999998,1.7433324,0.0,0.0,0.0,0.0,20.338877999999998,8.716662000000001,13.559251999999999,5.811108000000001,0.0,0.0,0.0,0.0,42.3242366,3.6803683999999977,2.227591400000002,0.19370360000000006,0.0,0.0,0.0,0.0,2025,high,58.58664185427526,5.094490596023933,3.08350746601449,0.26813108400125985,0.0,0.0,0.0,0.0
FIXED,Celulosa_y_papel,,47957.1,1.6,1.6,2.3,Annex IV; combustion-only category (no calcination process),47.9571,0.0448,0.424,51.412703549569,0.0,True,False,manufacturing_pulp_paper,True,0.82,0.7,0.92,0.8,0.6,0.95,Fixed Celulosa_y_papel: F=0.82; E=0.8,31.7673904,6.973329600000001,7.941847599999998,1.7433324,0.0,0.0,0.0,0.0,20.338877999999998,8.716662000000001,13.559251999999999,5.811108000000001,0.0,0.0,0.0,0.0,42.3242366,3.6803683999999977,2.227591400000002,0.19370360000000006,0.0,0.0,0.0,0.0,2026,central,33.726733528517265,7.403429311137939,8.431683382129314,1.8508573277844842,0.0,0.0,0.0,0.0
FIXED,Celulosa_y_papel,,47957.1,1.6,1.6,2.3,Annex IV; combustion-only category (no calcination process),47.9571,0.0448,0.424,35.73823409516682,0.0,True,False,manufacturing_pulp_paper,True,0.82,0.7,0.92,0.8,0.6,0.95,Fixed Celulosa_y_papel: F=0.82; E=0.8,31.7673904,6.973329600000001,7.941847599999998,1.7433324,0.0,0.0,0.0,0.0,20.338877999999998,8.716662000000001,13.559251999999999,5.811108000000001,0.0,0.0,0.0,0.0,42.3242366,3.6803683999999977,2.227591400000002,0.19370360000000006,0.0,0.0,0.0,0.0,2026,low,15.010058319970062,6.4328821371300275,10.006705546646709,4.288588091420019,0.0,0.0,0.0,0.0
FIXED,Celulosa_y_papel,,47957.1,1.6,1.6,2.3,Annex IV; combustion-only category (no calcination process),47.9571,0.0448,0.424,69.04375413032439,0.0,True,False,manufacturing_pulp_paper,True,0.82,0.7,0.92,0.8,0.6,0.95,Fixed Celulosa_y_papel: F=0.82; E=0.8,31.7673904,6.973329600000001,7.941847599999998,1.7433324,0.0,0.0,0.0,0.0,20.338877999999998,8.716662000000001,13.559251999999999,5.811108000000001,0.0,0.0,0.0,0.0,42.3242366,3.6803683999999977,2.227591400000002,0.19370360000000006,0.0,0.0,0.0,0.0,2026,high,60.344241109903514,5.247325313904651,3.176012689994925,0.27617501652129767,0.0,0.0,0.0,0.0
FIXED,Cemento_y_cal,,901618.0,0.1,0.1,0.0,Annex IV; dominant sector; ~60% from CaCO3 calcination process; ~40% from fuel combustion (mainly petcoke),901.618,0.0028,0.0265,952.4964502861025,0.0,True,False,industrial_process_cement,True,0.16000000000000003,0.12127499999999998,0.20047499999999993,0.97,0.9,1.0,Cement: F=0.16(central)=combustion frac × non-NG frac; E=0.97,139.93566096,734.6622200399999,4.327907040000005,22.72151196000002,0.0,0.0,0.0,0.0,98.41254867674999,713.07002132325,10.934727630749995,79.23000236924997,0.0,0.0,0.0,0.0,180.75774246749992,720.8895575325,0.0,0.0,0.0,0.0,0.0,0.0,2025,central,147.82744908440313,776.0941076931163,4.571982961373297,24.002910547209805,0.0,0.0,0.0,0.0
FIXED,Cemento_y_cal,,901618.0,0.1,0.1,0.0,Annex IV; dominant sector; ~60% from CaCO3 calcination process; ~40% from fuel combustion (mainly petcoke),901.618,0.0028,0.0265,721.9772604289063,0.0,True,False,industrial_process_cement,True,0.16000000000000003,0.12127499999999998,0.20047499999999993,0.97,0.9,1.0,Cement: F=0.16(central)=combustion frac × non-NG frac; E=0.97,139.93566096,734.6622200399999,4.327907040000005,22.72151196000002,0.0,0.0,0.0,0.0,98.41254867674999,713.07002132325,10.934727630749995,79.23000236924997,0.0,0.0,0.0,0.0,180.75774246749992,720.8895575325,0.0,0.0,0.0,0.0,0.0,0.0,2025,low,78.80201303266405,570.9775213533517,8.755779225851558,63.44194681703905,0.0,0.0,0.0,0.0
FIXED,Cemento_y_cal,,901618.0,0.1,0.1,0.0,Annex IV; dominant sector; ~60% from CaCO3 calcination process; ~40% from fuel combustion (mainly petcoke),901.618,0.0028,0.0265,1183.039392372535,0.0,True,False,industrial_process_cement,True,0.16000000000000003,0.12127499999999998,0.20047499999999993,0.97,0.9,1.0,Cement: F=0.16(central)=combustion frac × non-NG frac; E=0.97,139.93566096,734.6622200399999,4.327907040000005,22.72151196000002,0.0,0.0,0.0,0.0,98.41254867674999,713.07002132325,10.934727630749995,79.23000236924997,0.0,0.0,0.0,0.0,180.75774246749992,720.8895575325,0.0,0.0,0.0,0.0,0.0,0.0,2025,high,237.1698221858839,945.8695701866511,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Cemento_y_cal,,901618.0,0.1,0.1,0.0,Annex IV; dominant sector; ~60% from CaCO3 calcination process; ~40% from fuel combustion (mainly petcoke),901.618,0.0028,0.0265,957.2589325375328,0.0,True,False,industrial_process_cement,True,0.16000000000000003,0.12127499999999998,0.20047499999999993,0.97,0.9,1.0,Cement: F=0.16(central)=combustion frac × non-NG frac; E=0.97,139.93566096,734.6622200399999,4.327907040000005,22.72151196000002,0.0,0.0,0.0,0.0,98.41254867674999,713.07002132325,10.934727630749995,79.23000236924997,0.0,0.0,0.0,0.0,180.75774246749992,720.8895575325,0.0,0.0,0.0,0.0,0.0,0.0,2026,central,148.5665863298251,779.9745782315816,4.594842876180162,24.122925099945846,0.0,0.0,0.0,0.0
FIXED,Cemento_y_cal,,901618.0,0.1,0.1,0.0,Annex IV; dominant sector; ~60% from CaCO3 calcination process; ~40% from fuel combustion (mainly petcoke),901.618,0.0028,0.0265,707.5377152203282,0.0,True,False,industrial_process_cement,True,0.16000000000000003,0.12127499999999998,0.20047499999999993,0.97,0.9,1.0,Cement: F=0.16(central)=combustion frac × non-NG frac; E=0.97,139.93566096,734.6622200399999,4.327907040000005,22.72151196000002,0.0,0.0,0.0,0.0,98.41254867674999,713.07002132325,10.934727630749995,79.23000236924997,0.0,0.0,0.0,0.0,180.75774246749992,720.8895575325,0.0,0.0,0.0,0.0,0.0,0.0,2026,low,77.22597277201076,559.5579709262846,8.580663641334526,62.17310788069827,0.0,0.0,0.0,0.0
FIXED,Cemento_y_cal,,901618.0,0.1,0.1,0.0,Annex IV; dominant sector; ~60% from CaCO3 calcination process; ~40% from fuel combustion (mainly petcoke),901.618,0.0028,0.0265,1212.6153771818483,0.0,True,False,industrial_process_cement,True,0.16000000000000003,0.12127499999999998,0.20047499999999993,0.97,0.9,1.0,Cement: F=0.16(central)=combustion frac × non-NG frac; E=0.97,139.93566096,734.6622200399999,4.327907040000005,22.72151196000002,0.0,0.0,0.0,0.0,98.41254867674999,713.07002132325,10.934727630749995,79.23000236924997,0.0,0.0,0.0,0.0,180.75774246749992,720.8895575325,0.0,0.0,0.0,0.0,0.0,0.0,2026,high,243.09906774053096,969.5163094413173,0.0,0.0,0.0,0.0,0.0,0.0
