ipcc_code,description,emissions_GgCO2e,CO2_GgCO2e,CH4_GgCO2e,N2O_GgCO2e,HFC_GgCO2e,notes,sector_group,in_S,f_frac_central,f_frac_low,f_frac_high,e_frac_central,e_frac_low,e_frac_high,scope_note,S_F_E_central,S_E_only_central,S_F_only_central,S_only_central,F_only_central,F_E_only_central,E_only_central,uncovered_central,S_F_E_low,S_E_only_low,S_F_only_low,S_only_low,F_only_low,F_E_only_low,E_only_low,uncovered_low,S_F_E_high,S_E_only_high,S_F_only_high,S_only_high,F_only_high,F_E_only_high,E_only_high,uncovered_high
3C3,Aplicacion de urea,5.38,5.38,0.0,0.0,0.0,,afolu,False,0.0,0.0,0.0,0.0,0.0,0.0,ASOUT: exempt from all three instruments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38
3C4,Emisiones directas N2O suelos gestionados,633.41,0.0,0.0,633.41,0.0,,afolu,False,0.0,0.0,0.0,0.0,0.0,0.0,ASOUT: exempt from all three instruments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.41
3C5,Emisiones indirectas N2O suelos,175.93,0.0,0.0,175.93,0.0,,afolu,False,0.0,0.0,0.0,0.0,0.0,0.0,ASOUT: exempt from all three instruments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.93
3C6,Emisiones indirectas N2O por SME,151.01,0.0,0.0,151.01,0.0,,afolu,False,0.0,0.0,0.0,0.0,0.0,0.0,ASOUT: exempt from all three instruments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.01
4A1,Sitios gestionados (municipales),322.05,0.0,322.05,0.0,0.0,,waste,False,0.0,0.0,0.0,0.0,0.0,0.0,Waste: Durango state tax exempts waste; not in F or E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.05
4A2,Sitios gestionados (otros),36.32,0.0,36.32,0.0,0.0,,waste,False,0.0,0.0,0.0,0.0,0.0,0.0,Waste: Durango state tax exempts waste; not in F or E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.32
4A3,Sitios gestionados (industrial),32.17,0.0,32.17,0.0,0.0,,waste,False,0.0,0.0,0.0,0.0,0.0,0.0,Waste: Durango state tax exempts waste; not in F or E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.17
4C2,Incineracion abierta de residuos,35.19,18.31,13.85,3.03,0.0,,waste,False,0.0,0.0,0.0,0.0,0.0,0.0,Waste: Durango state tax exempts waste; not in F or E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.19
4D1,Aguas residuales domesticas,248.67,0.0,173.24,75.42,0.0,,waste,False,0.0,0.0,0.0,0.0,0.0,0.0,Waste: Durango state tax exempts waste; not in F or E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.67
4D2,Aguas residuales industriales,133.94,0.0,123.33,10.6,0.0,,waste,False,0.0,0.0,0.0,0.0,0.0,0.0,Waste: Durango state tax exempts waste; not in F or E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.94
